tags,pt-br,es,en,ru,de,status
primefaces.captcha.INVALID,O valor em ''{0}'' não é válido.,El valor'' {0}'' no es válido.,The value in {0} is not valid,Число {0} не действительно,Der Wert ''{0}'' ist ungültig.,ok
primefaces.captcha.INVALID_detail,???{0}: ''{1}'' não é igual ao texto exibido.,{0}:'' {1}'' no coincide con el texto que se muestra.,"???{0}: ""{1} is not equal to the text","???{0}: ""{1}"" не совадает с текстом","???{0}: ''{1}"" entspricht nicht dem angeforderten Text.",ok
primefaces.password.INVALID_MATCH,{0}'' deve ser igual a ''{1}''.,{0}'' debe ser igual a'' {1}''.,"{0}"" must be equal to ""{1}"".","{0}"" должно быть равным ""{1}"".","{0}'' sollte ''{1}"" entsprechen.",ok
primefaces.password.INVALID_MATCH_detail,{0}'' deve ser igual a ''{1}''.,{0}'' debe ser igual a'' {1}''.,"{0}"" must be equal to ""{1}"".","{0}"" должно быть равным ""{1}"".","{0}'' sollte ''{1}"" entsprechen.",ok
javax.faces.component.UIInput.REQUIRED,O campo ''{0}'' é requerido.,Se requiere el campo'' {0}''.,"The field ""{0}"" is required","Поле ""{0}"" является обязательным",Das Feld ''{0}'' muss ausgefüllt werden.,ok
javax.faces.validator.LengthValidator.MINIMUM,O campo ''{1}'' deve conter ao menos {0} caracteres.,El campo'' {1}'' debe contener al menos {0} caracteres.,"The field ""{1}"" must have at least {0} characters.","Поле ""{1}"" должно содержать не меньше {0} знаков.",Das Feld ''{1}'' sollte mindestens {0} Buchstaben oder Ziffern enthalten.,ok
javax.faces.validator.LengthValidator.MAXIMUM,O campo ''{1}'' deve conter no máximo {0} caracteres.,El campo'' {1}'' no debe ser superior a {0} caracteres.,"The field ""{1}"" must have at least {0} characters.","Поле ""{1}"" должно содержать не меньше {0} знаков.",Das Feld ''{1}'' sollte mindestens {0} Buchstaben oder Ziffern enthalten.,ok
###################################,,,,,,#
# COMMON TERMS #########,,,,,,#
###################################,,,,,,#
ufjf,Universidade Federal de Juiz de Fora,Universidad Federal de Juiz de Fora,Federal University of Juiz de Fora,Федеральный Университет Жуис-ди-Фора (UFJF),"Staatlichen Universität in Juiz de Fora, Brasilien",ok
crepeia,"Centro de Referência em Pesquisa, Intervenção e Avaliação em Álcool e Outras Drogas","Centro de Referencia para la Investigación, Intervención y Evaluación de Alcohol y Otras Drogas","Center for Research, Intervention and Evaluation on Alcohol & Drugs","Центр Исследования, Интервенции и Оценивания Алкоголя и Наркотиков","Zentrum für Forschung, Intervention und Studien zu Alkohol und anderen Suchtmitteln",ok
dcc,Departamento de Ciências da Computação - UFJF,Departamento de Ciencias de la Computación - UFJF,Computer Sciences Department - UFJF,Факультет Компьютерных Наук - UFJF,Fachbereich IT-Wissenschaften,ok
fapemig,FAPEMIG,FAPEMIG,FAPEMIG,FAPEMIG,FAPEMIG,ok
cnpq,CNPQ - Ciências sem Fronteiras,CNPQ - Ciencia sin Fronteras,CNPQ - Science without Borders,CNPQ - Наука без Границ,CNPQ - Science without Borders,ok
capes,CAPES,CAPES,CAPES,CAPES,CAPES,ok
update.date,Atualizado em 11/06/2014,Actualizado el 11/06/2014.,Last update: 06-11-2014.,Последнее обновление: 11/06/2014,Aktualisiert am 11/06/2014.,ok
vivasemtabaco,Viva sem Tabaco,Viva sin Tabaco,Live without Tobacco,Живи без Табака,Lebe ohne Tabak,ok
send,Enviar,Enviar,Send,Отправить,Senden,ok
psw,Senha,Contraseña,Password,Пароль,Passwort,ok
next,próximo,Siguiente,next,Далее,weiter,ok
back,voltar,Volver,back,Назад,zurück,ok
img.ref,Crédito da foto:,Crédito de la foto:,Photo credit,Право на фото,Rechte bei,ok
next.step,Próximo passo,Siguiente Paso,Next step,Следующий шаг,Nächster Schritt,ok
currency,R$,$,U$,RUB,€,ok
centseparator,.,.,.,.,,ok
thousandseparator,",",",",",",",",,ok
source,Fonte,Fuente,Source,Источник,Quelle,ok
sources,Fontes,Fuentes,Sources,Источники,Quellen,ok
month.1,Janeiro,Enero,January,Январь,Januar,ok
month.2,Fevereiro,Febrero,February,Февраль,Februar,ok
month.3,Março,Marzo,March,Март,März,ok
month.4,Abril,Abril,April,Апрель,April,ok
month.5,Maio,Mayo,May,Май,Mai,ok
month.6,Junho,Junio,June,Июнь,Juni,ok
month.7,Julho,Julio,July,Июль,Juli,ok
month.8,Agosto,Agosto,August,Август,August,ok
month.9,Setembro,Septiembre,September,Сентябрь,September,ok
month.10,Outubro,Octubre,October,Октябрь,Oktober,ok
month.11,Novembro,Noviembre,November,Ноябрь,November,ok
month.12,Dezembro,Diciembre,December,Декабрь,Dezember,ok
yes,Sim,Sí,Yes,Да,Ja,ok
no,Não,No,No,Нет,Nein,ok
days,Dias,Dias,Days,Дни,Tage,ok
###################################,,,,,,#
# WEBSITE - MAIN #########,,,,,,#
###################################,,,,,,#
# HEADER,,,,,,#
header.title,Viva sem Tabaco,Viva sin Tabaco,Live without Tobacco,Живи без Табака,Lebe ohne Tabak,ok
header.logo,Logomarca do viva sem tabaco,Logo de viva sin tabaco,Live without Tobacco's Logo,Логотип Живи без Табака,Logo von Lebe ohne Tabak,ok
register,Cadastrar,Registrar,Sign up,Зарегистрироваться,Registrieren,ok
signin,Entrar,Entrar,Sign in,Войти,Anmelden,ok
search,Buscar,Búsqueda,Search,Искать,Suchen,ok
search.here,Pesquise aqui,Busque aquí,Search here,Искать здесь,Suchen Sie hier,ok
email,E-mail,Email,E-mail,Email,Email,ok
password,Senha,Contraseña,Password,Пароль,Passwort,ok
# INDEX.XTML,,,,,,#
